scene,floor,question,choices,question_formatted,answer,label,source_image
00794-WRphMcFxfhe,0,What color is the wall in the current scene?,"['Blue', 'White', 'Green', 'Red']",What color is the wall in the current scene? A) Blue B) White C) Green D) Red. Answer:,B,attribute,00794-WRphMcFxfhe_0_2.png
00846-LNg5mXe1BDj,0,What types of appliances can be found in this basement?,"['Refrigerator', 'Oven', 'Washing machine', 'Microwave']",What types of appliances can be found in this basement? A) Refrigerator B) Oven C) Washing machine D) Microwave. Answer:,A,object,00846-LNg5mXe1BDj_0_8.png
00255-NGyoyh91xXJ,0,What is the color of the object on the shelf next to the cabinet?,"['Blue', 'Orange', 'Green', 'Red']",What is the color of the object on the shelf next to the cabinet? A) Blue B) Orange C) Green D) Red. Answer:,B,attribute,00255-NGyoyh91xXJ_0_3.png
00856-FnSn2KSrALj,0,What objects are present on the wall in this indoor scene?,"['Paintings', 'Shelves', 'Hooks', 'Mirrors']",What objects are present on the wall in this indoor scene? A) Paintings B) Shelves C) Hooks D) Mirrors. Answer:,C,object,00856-FnSn2KSrALj_0_1.png
00377-Fgtk7tL8R9Y,0,What is the color of the chairs around the dining table?,"['Black', 'White', 'Brown', 'Red']",What is the color of the chairs around the dining table? A) Black B) White C) Brown D) Red. Answer:,B,attribute,00377-Fgtk7tL8R9Y_0_5.png
00180-sCCThjhioJC,0,What objects are present in the room?,"['Sofa', 'Desk', 'Dining table', 'Bed']",What objects are present in the room? A) Sofa B) Desk C) Dining table D) Bed. Answer:,B,object,00180-sCCThjhioJC_0_5.png
00795-awcRF7AZnJu,0,What type of room is depicted in the image?,"['Kitchen', 'Closet', 'Bathroom', 'Living Room']",What type of room is depicted in the image? A) Kitchen B) Closet C) Bathroom D) Living Room. Answer:,B,object,00795-awcRF7AZnJu_0_1.png
00680-YmWinf3mhb5,0,What types of furniture are present in this room?,"['A desk and a chair', 'A sofa and a bed', 'A dining table and chairs', 'A cabinet and a coffee table']",What types of furniture are present in this room? A) A desk and a chair B) A sofa and a bed C) A dining table and chairs D) A cabinet and a coffee table. Answer:,A,object,00680-YmWinf3mhb5_0_9.png
00741-w8GiikYuFRk,0,What type of animal head is mounted on the wall in this scene?,"['Bear', 'Deer', 'Moose', 'Elk']",What type of animal head is mounted on the wall in this scene? A) Bear B) Deer C) Moose D) Elk. Answer:,C,object,00741-w8GiikYuFRk_0_5.png
00135-HeSYRw7eMtG,0,What type of bathtub is present in the bathroom?,"['Oval', 'Rectangular', 'Round', 'Square']",What type of bathtub is present in the bathroom? A) Oval B) Rectangular C) Round D) Square. Answer:,A,object,00135-HeSYRw7eMtG_0_4.png
00338-rK4jPRTUw15,0,What objects can be found in the basement area on the left side of the scene?,"['Chairs', 'Boxes', 'Plants', 'Toys']",What objects can be found in the basement area on the left side of the scene? A) Chairs B) Boxes C) Plants D) Toys. Answer:,B,object,00338-rK4jPRTUw15_0_2.png
00593-m17UDpW3tHm,0,What color is the sofa in the room?,"['Blue', 'Grey', 'Brown', 'White']",What color is the sofa in the room? A) Blue B) Grey C) Brown D) White. Answer:,B,attribute,00593-m17UDpW3tHm_0_4.png
00542-12e6joG2B2T,0,What objects are placed on the shelf in the living room?,"['Books and a vase', 'Only books', 'Only decorations', 'No objects']",What objects are placed on the shelf in the living room? A) Books and a vase B) Only books C) Only decorations D) No objects. Answer:,A,object,00542-12e6joG2B2T_0_4.png
00006-HkseAnWCgqk,0,Are there any plants on the balcony?,"['Yes', 'No', 'Unknown', 'Only flowers']",Are there any plants on the balcony? A) Yes B) No C) Unknown D) Only flowers. Answer:,B,existence,00006-HkseAnWCgqk_0_4.png
00565-xc2kFoo9nbw,0,What color is the wall in the corner of the living room?,"['White', 'Black', 'Blue', 'Green']",What color is the wall in the corner of the living room? A) White B) Black C) Blue D) Green. Answer:,B,attribute,00565-xc2kFoo9nbw_0_4.png
00688-SgkmkWjjmDJ,0,What kitchen appliances are present on the countertop in the kitchen?,"['Toaster and blender', 'Microwave and coffee maker', 'Juicer and mixer', 'All of the above']",What kitchen appliances are present on the countertop in the kitchen? A) Toaster and blender B) Microwave and coffee maker C) Juicer and mixer D) All of the above. Answer:,A,object,00688-SgkmkWjjmDJ_0_0.png
00835-q3zU7Yy5E5s,0,What color is the sofa in the living room?,"['Red', 'Blue', 'Green', 'Yellow']",What color is the sofa in the living room? A) Red B) Blue C) Green D) Yellow. Answer:,B,attribute,00835-q3zU7Yy5E5s_0_9.png
00429-UZ5rYGiwQgW,0,What objects can be found in the technical room that is visible through the glass door?,"['Computers', 'Plants', 'Chairs', 'Paintings']",What objects can be found in the technical room that is visible through the glass door? A) Computers B) Plants C) Chairs D) Paintings. Answer:,A,object,00429-UZ5rYGiwQgW_0_2.png
00578-dTzYwo8Hppu,0,What type of furniture is located in the living room section of the indoor scene?,"['Desk', 'Sofa', 'Bed', 'Dining Table']",What type of furniture is located in the living room section of the indoor scene? A) Desk B) Sofa C) Bed D) Dining Table. Answer:,B,object,00578-dTzYwo8Hppu_0_1.png
00671-knPYW3fibqY,0,What appliances are present in the kitchen area of the living room?,"['Refrigerator', 'Stove', 'Dishwasher', 'Microwave']",What appliances are present in the kitchen area of the living room? A) Refrigerator B) Stove C) Dishwasher D) Microwave. Answer:,A,object,00671-knPYW3fibqY_0_4.png
00554-rihBP3nC6p4,0,What objects are present on the shelf in the living room?,"['Books', 'Plants', 'Decorative items', 'All of the above']",What objects are present on the shelf in the living room? A) Books B) Plants C) Decorative items D) All of the above. Answer:,D,object,00554-rihBP3nC6p4_0_8.png
00051-CETmJJqkhcK,0,What items are stored inside the refrigerator in the kitchen?,"['Fruits and vegetables', 'Packaged meals', 'Beverages', 'All of the above']",What items are stored inside the refrigerator in the kitchen? A) Fruits and vegetables B) Packaged meals C) Beverages D) All of the above. Answer:,D,object,00051-CETmJJqkhcK_0_2.png
00083-16tymPtM7uS,0,What items are present on the side table next to the chair in the living room?,"['A phone and a lamp', 'A clock and a book', 'A plant and a picture frame', 'A vase and a candle']",What items are present on the side table next to the chair in the living room? A) A phone and a lamp B) A clock and a book C) A plant and a picture frame D) A vase and a candle. Answer:,A,object,00083-16tymPtM7uS_0_4.png
00786-E9hxHD5h4FY,0,What appliances are present in the kitchen?,"['Microwave and refrigerator', 'Oven and dishwasher', 'Toaster and blender', 'All of the above']",What appliances are present in the kitchen? A) Microwave and refrigerator B) Oven and dishwasher C) Toaster and blender D) All of the above. Answer:,A,object,00786-E9hxHD5h4FY_0_9.png
00194-JY8e73x9ubE,0,What color is the wallpaper in the hallway?,"['Blue', 'Yellow', 'Green', 'Red']",What color is the wallpaper in the hallway? A) Blue B) Yellow C) Green D) Red. Answer:,A,attribute,00194-JY8e73x9ubE_0_5.png
00332-cWfRoQnzNiM,0,What color is the dresser located in the children's bedroom?,"['Blue', 'Yellow', 'Green', 'Red']",What color is the dresser located in the children's bedroom? A) Blue B) Yellow C) Green D) Red. Answer:,B,attribute,00332-cWfRoQnzNiM_0_1.png
00266-67ADtrTrBK2,0,What items are placed on the dresser in the bedroom?,"['A lamp', 'A flower vase', 'A clock', 'A mirror']",What items are placed on the dresser in the bedroom? A) A lamp B) A flower vase C) A clock D) A mirror. Answer:,A,object,00266-67ADtrTrBK2_0_3.png
00048-aKwZ7VJDAjr,0,What color is the bedding on the bed in the bedroom?,"['Blue', 'Pink', 'White', 'Yellow']",What color is the bedding on the bed in the bedroom? A) Blue B) Pink C) White D) Yellow. Answer:,B,attribute,00048-aKwZ7VJDAjr_0_6.png
00799-deNrXzuSss5,0,Are there any windows in the living room? ,"['Yes', 'No', 'Not sure', 'There is one']",Are there any windows in the living room?  A) Yes B) No C) Not sure D) There is one. Answer:,A,existence,00799-deNrXzuSss5_0_4.png
00520-LpFSk2s7me6,0,What is the color of the pillows on the bed in the bedroom?,"['White', 'Grey', 'Blue', 'Black']",What is the color of the pillows on the bed in the bedroom? A) White B) Grey C) Blue D) Black. Answer:,B,attribute,00520-LpFSk2s7me6_0_8.png
